# n_faults
#-------------------------------------------------------------------------------
1
#-------------------------------------------------------------------------------
# n   O_lat   O_lon    O_depth length  width strike dip   np_st np_di start_time
# [-] [deg]   [deg]    [km]    [km]     [km] [deg]  [deg] [-]   [-]   [day]
#     pos_s   pos_d    slp_stk slp_dip open
#     [km]    [km]     [m]     [m]     [m]
#-------------------------------------------------------------------------------
   1  -25.6959  129.9465    0.0000   27.0000    8.0000   312.0000   22.0000  34  10 0.00
        9.2000    0.4000    0.4987   -0.5709    0.0000
        9.2000    1.2000    0.5041   -0.6269    0.0000
        9.2000    2.0000    0.4908   -0.6665    0.0000
        9.2000    2.8000    0.4503   -0.6630    0.0000
        9.2000    3.6000    0.3857   -0.6101    0.0000
        9.2000    4.4000    0.3081   -0.5139    0.0000
        9.2000    5.2000    0.2279   -0.3895    0.0000
        9.2000    6.0000    0.1498   -0.2561    0.0000
        9.2000    6.8000    0.0744   -0.1258    0.0000
        9.2000    7.6000    0.0005   -0.0006    0.0000
       10.0000    0.4000    0.4739   -0.6183    0.0000
       10.0000    1.2000    0.4750   -0.6832    0.0000
       10.0000    2.0000    0.4502   -0.7342    0.0000
       10.0000    2.8000    0.3965   -0.7330    0.0000
       10.0000    3.6000    0.3256   -0.6707    0.0000
       10.0000    4.4000    0.2517   -0.5584    0.0000
       10.0000    5.2000    0.1826   -0.4183    0.0000
       10.0000    6.0000    0.1190   -0.2725    0.0000
       10.0000    6.8000    0.0588   -0.1330    0.0000
       10.0000    7.6000    0.0000   -0.0004    0.0000
       10.8000    0.4000    0.4592   -0.6586    0.0000
       10.8000    1.2000    0.4505   -0.7247    0.0000
       10.8000    2.0000    0.4074   -0.7681    0.0000
       10.8000    2.8000    0.3384   -0.7519    0.0000
       10.8000    3.6000    0.2622   -0.6724    0.0000
       10.8000    4.4000    0.1931   -0.5470    0.0000
       10.8000    5.2000    0.1353   -0.4016    0.0000
       10.8000    6.0000    0.0862   -0.2576    0.0000
       10.8000    6.8000    0.0422   -0.1244    0.0000
       10.8000    7.6000    0.0000   -0.0000    0.0000
       11.6000    0.4000    0.4654   -0.7061    0.0000
       11.6000    1.2000    0.4429   -0.7571    0.0000
       11.6000    2.0000    0.3835   -0.7771    0.0000
       11.6000    2.8000    0.3020   -0.7354    0.0000
       11.6000    3.6000    0.2202   -0.6352    0.0000
       11.6000    4.4000    0.1519   -0.4994    0.0000
       11.6000    5.2000    0.0997   -0.3554    0.0000
       11.6000    6.0000    0.0601   -0.2222    0.0000
       11.6000    6.8000    0.0283   -0.1054    0.0000
       11.6000    7.6000    0.0000   -0.0000    0.0000
       12.4000    0.4000    0.4705   -0.7325    0.0000
       12.4000    1.2000    0.4454   -0.7696    0.0000
       12.4000    2.0000    0.3803   -0.7683    0.0000
       12.4000    2.8000    0.2912   -0.7026    0.0000
       12.4000    3.6000    0.2026   -0.5831    0.0000
       12.4000    4.4000    0.1300   -0.4389    0.0000
       12.4000    5.2000    0.0775   -0.2987    0.0000
       12.4000    6.0000    0.0420   -0.1792    0.0000
       12.4000    6.8000    0.0181   -0.0824    0.0000
       12.4000    7.6000    0.0000   -0.0000    0.0000
       13.2000    0.4000    0.4732   -0.7311    0.0000
       13.2000    1.2000    0.4543   -0.7670    0.0000
       13.2000    2.0000    0.3879   -0.7532    0.0000
       13.2000    2.8000    0.2922   -0.6690    0.0000
       13.2000    3.6000    0.1957   -0.5331    0.0000
       13.2000    4.4000    0.1172   -0.3812    0.0000
       13.2000    5.2000    0.0625   -0.2444    0.0000
       13.2000    6.0000    0.0289   -0.1377    0.0000
       13.2000    6.8000    0.0105   -0.0600    0.0000
       13.2000    7.6000    0.0000   -0.0000    0.0000
       14.0000    0.4000    0.4753   -0.7296    0.0000
       14.0000    1.2000    0.4565   -0.7559    0.0000
       14.0000    2.0000    0.3860   -0.7309    0.0000
       14.0000    2.8000    0.2843   -0.6325    0.0000
       14.0000    3.6000    0.1833   -0.4848    0.0000
